order_id,product_id,add_to_cart_order,_ingested_at,_source,product_name,aisle_id,aisle,department_id,department,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,is_first_order,is_weekend,is_reordered
25,48171,9,2026-08-05 08:44:19.191034,bronze,Shredded Hash Browns,129,frozen appetizers sides,1,frozen,59897,19,6,10,25.0,False,False,True
25,14576,4,2026-08-05 08:44:19.191034,bronze,Delights Turkey Sausage Egg Whites & Cheese English Muffin,52,frozen breakfast,1,frozen,59897,19,6,10,25.0,False,False,True
25,15925,12,2026-08-05 08:44:19.191034,bronze,Macaroni and Cheese,38,frozen meals,1,frozen,59897,19,6,10,25.0,False,False,True
25,33506,10,2026-08-05 08:44:19.191034,bronze,Simply 9 White Meat Chicken & Whole Barley Recipe Dog Food,40,dog food care,8,pets,59897,19,6,10,25.0,False,False,True
25,37449,13,2026-08-05 08:44:19.191034,bronze,Natural Muenster Cheese,21,packaged cheese,16,dairy eggs,59897,19,6,10,25.0,False,False,True
25,31487,2,2026-08-05 08:44:19.191034,bronze,Boomchickapop Sweet & Salty Kettle Corn,23,popcorn jerky,19,snacks,59897,19,6,10,25.0,False,False,True
25,48299,14,2026-08-05 08:44:19.191034,bronze,Baby Cut Carrots,123,packaged vegetables fruits,4,produce,59897,19,6,10,25.0,False,False,True
25,39046,8,2026-08-05 08:44:19.191034,bronze,Smok Cured Turkey Bacon,106,hot dogs bacon sausage,12,meat seafood,59897,19,6,10,25.0,False,False,True
25,9755,1,2026-08-05 08:44:19.191034,bronze,Original Popcorn,23,popcorn jerky,19,snacks,59897,19,6,10,25.0,False,False,True
25,1934,6,2026-08-05 08:44:19.191034,bronze,Cheese Shredded Mozzarella Reduced Fat 2%,21,packaged cheese,16,dairy eggs,59897,19,6,10,25.0,False,False,True
